remark,ค่าบริการเครื่องหมุนรางวัล ส่งมอบงานวันที่ 13/12/2021 #JV2021010033
costcode,C100008
DR_amt,5000
CR_amt,0
predpt_name,BDF Christmas & New year virtual party
vchno,APS2022010043
vchdate,44584
remark,ค่าบริการเครื่องหมุนรางวัล ส่งมอบงานวันที่ 13/12/2021 #JV2021010033
costcode,C100008
DR_amt,4100
CR_amt,0
predpt_name,Eucerin Logistic Retail [Jan 2022]
vchno,APV2022010009
vchdate,44584
remark,ค่าอุปกรณ์ งาน Eucerin Logistic Retail [Jan] ส่งสินค้าวันที่ 14/1/2022
costcode,C100008
DR_amt,940
CR_amt,0
predpt_name,Eucerin Logistic Retail [Jan 2022]
vchno,APV2022010009
vchdate,44584
remark,ค่าอุปกรณ์ งาน Eucerin Logistic Retail [Jan] ส่งสินค้าวันที่ 14/1/2022
costcode,C100008
DR_amt,184
CR_amt,0
predpt_name,Eucerin Logistic Retail [Jan 2022]
vchno,APV2022010009
vchdate,44584
remark,ค่าอุปกรณ์ งาน Eucerin Logistic Retail [Jan] ส่งสินค้าวันที่ 14/1/2022
costcode,C100008
DR_amt,68
CR_amt,0
predpt_name,Eucerin Logistic Hospital [Jan 2022]
vchno,APV2022010010
vchdate,44584
remark,ค่าอุปกรณ์ งาน Eucerin Logistic Hopital [Jan] ส่งสินค้าวันที่ 14/1/2022
costcode,C100008
DR_amt,376
CR_amt,0
predpt_name,Eucerin Logistic Hospital [Jan 2022]
vchno,APV2022010010
vchdate,44584
remark,ค่าอุปกรณ์ งาน Eucerin Logistic Hopital [Jan] ส่งสินค้าวันที่ 14/1/2022
costcode,C100008
DR_amt,15
CR_amt,0
predpt_name,Eucerin Logistic Hospital [Jan 2022]
vchno,APV2022010010
vchdate,44584
remark,ค่าอุปกรณ์ งาน Eucerin Logistic Hopital [Jan] ส่งสินค้าวันที่ 14/1/2022
costcode,C100008
DR_amt,544
CR_amt,0
predpt_name,Eucerin Logistic Hospital [Jan 2022]
vchno,APV2022010010
vchdate,44584
remark,ค่าอุปกรณ์ งาน Eucerin Logistic Hopital [Jan] ส่งสินค้าวันที่ 14/1/2022
costcode,C100008
DR_amt,1116
CR_amt,0
predpt_name,Eucerin Logistic Hospital [Jan 2022]
vchno,APV2022010010
vchdate,44584
remark,ค่าอุปกรณ์ งาน Eucerin Logistic Hopital [Jan] ส่งสินค้าวันที่ 14/1/2022
costcode,C100008
DR_amt,57
CR_amt,0
predpt_name,Eucerin Logistic Hospital [Jan 2022]
vchno,APV2022010010
vchdate,44584
remark,ค่าอุปกรณ์ งาน Eucerin Logistic Hopital [Jan] ส่งสินค้าวันที่ 14/1/2022
costcode,C100008
DR_amt,729
CR_amt,0
predpt_name,Eucerin Logistic Hospital [Jan 2022]
vchno,APV2022010010
vchdate,44584
remark,ค่าอุปกรณ์ งาน Eucerin Logistic Hopital [Jan] ส่งสินค้าวันที่ 14/1/2022
costcode,C100008
DR_amt,135
CR_amt,0
predpt_name,Eucerin Logistic Retail [Jan 2022]
vchno,APV2022010012
vchdate,44584
remark,ค่ากระดาษ A4 งาน Eucerin Logistic Retail ส่งสินค้าวันที่ 14/1/2022
costcode,C100008
DR_amt,750
CR_amt,0
predpt_name,Enfa_Booth production
vchno,APV2022010014
vchdate,44584
remark,ค่าอุปกรณ์ งาน Enfa_Booth ส่งสินค้าวันที่ 21/01/2022
costcode,C100008
DR_amt,98.13
CR_amt,0
predpt_name,Enfa_Booth production
vchno,APV2022010014
vchdate,44584
remark,ค่าอุปกรณ์ งาน Enfa_Booth ส่งสินค้าวันที่ 21/01/2022
costcode,C100008
DR_amt,177.6
CR_amt,0
predpt_name,Enfa_Booth production
vchno,APV2022010014
vchdate,44584
remark,ค่าอุปกรณ์ งาน Enfa_Booth ส่งสินค้าวันที่ 21/01/2022
costcode,C100008
DR_amt,417.76
CR_amt,0
predpt_name,Eucerin_Repack Product GWP_Jan
vchno,APV2022010015
vchdate,44584
remark,ค่าอุปกรณ์ งาน Eucerin_Repack ส่งสินค้าวันที่ 21/1/2022
costcode,C100008
